POLICY_NUMBER,POL_EFF_DT,POL_EXP_DT,PHONE_NUMBER,LAST_NAME,FIRST_NAME,AGR_JUS_STT_PRV,POLICY_SYMBOL,AGREEMENT_SOURCE,Script
AO226167303740,05/20/2012,05/19/2013,354-426-6775,CNGDATACAP,CAP,CA,AO,CA,TP06
AO226167303840,05/20/2012,05/19/2013,354-426-6785,CNGDATACAZ,CAZ,CA,AO,CA,TP06
AO226167303940,05/20/2012,05/19/2013,354-426-6795,CNGDATACBJ,CBJ,CA,AO,CA,TP06
AO226167305340,05/20/2012,05/19/2013,354-426-6776,CNGDATACAQ,CAQ,CA,AO,CA,TP06
AO226167305540,05/20/2012,05/19/2013,354-426-6786,CNGDATACBA,CBA,CA,AO,CA,TP06
AO226167305640,05/20/2012,05/19/2013,354-426-6796,CNGDATACBK,CBK,CA,AO,CA,TP06
AO226167306840,05/20/2012,05/19/2013,354-426-6777,CNGDATACAR,CAR,CA,AO,CA,TP06
AO226167307140,05/20/2012,05/19/2013,354-426-6797,CNGDATACBL,CBL,CA,AO,CA,TP06
AO226167307340,05/20/2012,05/19/2013,354-426-6787,CNGDATACBB,CBB,CA,AO,CA,TP06
AO226167308640,05/20/2012,05/19/2013,354-426-6778,CNGDATACAS,CAS,CA,AO,CA,TP06
AO226167308840,05/20/2012,05/19/2013,354-426-6798,CNGDATACBM,CBM,CA,AO,CA,TP06
AO226167309040,05/20/2012,05/19/2013,354-426-6788,CNGDATACBC,CBC,CA,AO,CA,TP06
AO226167310140,05/20/2012,05/19/2013,354-426-6779,CNGDATACAT,CAT,CA,AO,CA,TP06
AO226167310540,05/20/2012,05/19/2013,354-426-6799,CNGDATACBN,CBN,CA,AO,CA,TP06
AO226167310640,05/20/2012,05/19/2013,354-426-6789,CNGDATACBD,CBD,CA,AO,CA,TP06
AO226167311940,05/20/2012,05/19/2013,354-426-6780,CNGDATACAU,CAU,CA,AO,CA,TP06
AO226167312340,05/20/2012,05/19/2013,354-426-6790,CNGDATACBE,CBE,CA,AO,CA,TP06
AO226167312440,05/20/2012,05/19/2013,354-426-6800,CNGDATACBO,CBO,CA,AO,CA,TP06
AO226167313640,05/20/2012,05/19/2013,354-426-6781,CNGDATACAV,CAV,CA,AO,CA,TP06
AO226167314040,05/20/2012,05/19/2013,354-426-6801,CNGDATACBP,CBP,CA,AO,CA,TP06
AO226167314140,05/20/2012,05/19/2013,354-426-6791,CNGDATACBF,CBF,CA,AO,CA,TP06
AO226167315340,05/20/2012,05/19/2013,354-426-6782,CNGDATACAW,CAW,CA,AO,CA,TP06
AO226167315640,05/20/2012,05/19/2013,354-426-6802,CNGDATACBQ,CBQ,CA,AO,CA,TP06
AO226167315940,05/20/2012,05/19/2013,354-426-6792,CNGDATACBG,CBG,CA,AO,CA,TP06
AO226167316940,05/20/2012,05/19/2013,354-426-6783,CNGDATACAX,CAX,CA,AO,CA,TP06
AO226167317240,05/20/2012,05/19/2013,354-426-6773,CNGDATACAN,CAN,CA,AO,CA,TP06
AO226167317440,05/20/2012,05/19/2013,354-426-6793,CNGDATACBH,CBH,CA,AO,CA,TP06
AO226167318540,05/20/2012,05/19/2013,354-426-6784,CNGDATACAY,CAY,CA,AO,CA,TP06
AO226167318840,05/20/2012,05/19/2013,354-426-6774,CNGDATACAO,CAO,CA,AO,CA,TP06
AO226167319240,05/20/2012,05/19/2013,354-426-6794,CNGDATACBI,CBI,CA,AO,CA,TP06
AO525150720240,01/27/2012,01/26/2013,354-426-7156,CNGDATACPG,CPG,FL,AO,FL,TP06
AO525150725240,01/27/2012,01/26/2013,354-426-7149,CNGDATACOZ,COZ,FL,AO,FL,TP06
AO525150725340,01/27/2012,01/26/2013,354-426-7159,CNGDATACPJ,CPJ,FL,AO,FL,TP06
AO525150728440,01/27/2012,01/26/2013,354-426-7141,CNGDATACOR,COR,FL,AO,FL,TP06
AO525150731340,01/27/2012,01/26/2013,354-426-7153,CNGDATACPD,CPD,FL,AO,FL,TP06
AO525150733340,01/27/2012,01/26/2013,354-426-7164,CNGDATACPO,CPO,FL,AO,FL,TP06
AO525150734440,01/27/2012,01/26/2013,354-426-7155,CNGDATACPF,CPF,FL,AO,FL,TP06
