PHONE_NUMBER,FIRST_NAME,LAST_NAME,AGR_JUS_STT_PRV,POLICY_NUMBER,POL_EFF_DT,POL_EXP_DT,POLICY_SYMBOL,AGREEMENT_SOURCE,SCRIPT
354-426-6194,BLZ,CNGDATABLZ,CA,H3226800032540,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6175,BLG,CNGDATABLG,CA,H3226800032840,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6214,BMT,CNGDATABMT,CA,H3226800035040,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6195,BMA,CNGDATABMA,CA,H3226800035240,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6187,BLS,CNGDATABLS,CA,H3226800035740,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6168,BKZ,CNGDATABKZ,CA,H3226800036340,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6225,BNE,CNGDATABNE,CA,H3226800036740,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6205,BMK,CNGDATABMK,CA,H3226800037040,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6177,BLI,CNGDATABLI,CA,H3226800037740,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6196,BMB,CNGDATABMB,CA,H3226800038240,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6216,BMV,CNGDATABMV,CA,H3226800038440,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6206,BML,CNGDATABML,CA,H3226800038940,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6170,BLB,CNGDATABLB,CA,H3226800039540,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6227,BNG,CNGDATABNG,CA,H3226800039640,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6190,BLV,CNGDATABLV,CA,H3226800040940,12/10/2012,12/10/2013,H3,CA,TP129
354-426-6179,BLK,CNGDATABLK,CA,H3226800041640,12/10/2012,12/10/2013,H3,CA,TP129
354-426-7538,BII,CNGDATABII,CA,H3226800042240,12/11/2012,12/11/2013,H3,CA,TP129
354-426-6303,BQE,CNGDATABQE,CA,H3226867289140,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6174,BLF,CNGDATABLF,CA,H3226867289340,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6274,BPB,CNGDATABPB,CA,H3226867290440,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6294,BPV,CNGDATABPV,CA,H3226867290540,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6304,BQF,CNGDATABQF,CA,H3226867290640,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6284,BPL,CNGDATABPL,CA,H3226867290740,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6165,BKW,CNGDATABKW,CA,H3226867291140,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6205,BMK,CNGDATABMK,CA,H3226867291540,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6295,BPW,CNGDATABPW,CA,H3226867292140,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6305,BQG,CNGDATABQG,CA,H3226867292240,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6285,BPM,CNGDATABPM,CA,H3226867292340,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6275,BPC,CNGDATABPC,CA,H3226867292440,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6296,BPX,CNGDATABPX,CA,H3226867293540,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6306,BQH,CNGDATABQH,CA,H3226867293640,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6286,BPN,CNGDATABPN,CA,H3226867293740,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6276,BPD,CNGDATABPD,CA,H3226867293940,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6217,BMW,CNGDATABMW,CA,H3226867294240,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6207,BMM,CNGDATABMM,CA,H3226867294440,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6297,BPY,CNGDATABPY,CA,H3226867295040,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6287,BPO,CNGDATABPO,CA,H3226867295140,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6307,BQI,CNGDATABQI,CA,H3226867295240,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6277,BPE,CNGDATABPE,CA,H3226867295640,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6248,BOB,CNGDATABOB,CA,H3226867295940,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6298,BPZ,CNGDATABPZ,CA,H3226867296440,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6288,BPP,CNGDATABPP,CA,H3226867296540,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6308,BQJ,CNGDATABQJ,CA,H3226867296740,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6219,BMY,CNGDATABMY,CA,H3226867297140,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6278,BPF,CNGDATABPF,CA,H3226867297340,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6289,BPQ,CNGDATABPQ,CA,H3226867297940,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6299,BQA,CNGDATABQA,CA,H3226867298040,05/20/2012,05/20/2013,H3,CA,TP129
354-426-6309,BQK,CNGDATABQK,CA,H3226867298140,05/20/2012,05/20/2013,H3,CA,TP129
