USERNAME,PASSWORD,RECIPIENT_ID,VENDOR_NAME,INC_ID,LM_VENDORID
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:8505079,2970508FLTG470
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:8500775,2970469ILTX472
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:8495346,2970508FLTG470
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:8475345,2970469ILTX472
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8460119,2970179NHTW369
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:8459327,2970508FLT1978
CIP_PERF1608,pmcng928,66457,THE BOYD GROUP INC,cc:8452955,2970508FLT1978
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:8449589,2970508FLTG470
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:8448349,2970508FLTG470
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:8448349,2970508FLTG470
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8438852,2970179NHTW369
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8436180,2970179NHTW369
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8433834,2970179NHTW369
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:8424178,2970469ILTX472
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:8409584,2970508FLT1978
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8408430,2970179NHTW369
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:8399037,2970469ILTX472
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:8396305,2970469ILTX472
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:8394586,2970469ILTX472
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:8380050,2970508FLTG470
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8325692,2970179NHTW369
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8325031,2970179NHTW369
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:8311755,2970508FLT1978
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8311689,2970179NHTW369
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8295292,2970179NHTW369
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8292809,2970179NHTW369
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:8268489,2970508FLT1978
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:8247703,2970469ILTX472
CIP_PERF1660,pmcng928,573708,MIDWAY MOTORS COLLISION,cc:8233183,2970179NHTW369
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:8223107,2970508FLTG470
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:8206963,2970508FLT1978
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:8182214,2970508FLT1978
CIP_PERF1661,pmcng928,551817,RIVERDALE BODY SHOP OF SCHERERVILLE,cc:8156999,2970469ILTX472
CIP_PERF1608,pmcng928,66457,The Boyd Group,cc:8139500,2970508FLT1978
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:8112831,2970508FLTG470
CIP_PERF1609,pmcng928,130506,EXQUISITE AUTO BODY,cc:8089589,2970508FLTG470
