POLICY_NUMBER,POL_EFF_DT,POL_EXP_DT,PHONE_NUMBER,LAST_NAME,FIRST_NAME,AGR_JUS_STT_PRV,POLICY_SYMBOL,AGREEMENT_SOURCE,TOL_URL,Script
H3CS1200648180,08/18/2016,08/18/2017,207-545-5522,PEDROIA,DUSTIN,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200658580,08/20/2016,08/20/2017,207-555-2017,FEDERAR,ROGER,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200883280,08/23/2016,08/23/2017,207-555-9898,BRADSHAW,TERRY,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1201017080,08/21/2016,08/21/2017,207-555-2011,HAPPYPATH,JANE,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200758480,08/21/2016,08/21/2017,207-555-3434,ELWAY,JOHN,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200783380,08/23/2016,08/23/2017,207-555-2017,LINCOLN,PAUL,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200789780,08/23/2016,08/23/2017,207-555-2011,HAPPYPATH,JANE,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200800580,08/24/2016,08/24/2017,555-555-5555,G,JIMMY,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200864680,08/24/2016,08/24/2017,231-654-9870,TWOFORTYEIGHT,HOME,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200932280,08/24/2016,08/24/2017,207-414-4455,ROMO,TONY,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200943480,08/24/2016,08/24/2017,207-549-8413,REYNOLDS,RYAN,ME,H3,PY,12%3A15%20AM,SAFECO
H3CS1200559380,08/15/2016,08/15/2017,207-888-9898,OLSEN,ELISABETH,ME,H3,PY,12%3A15%20AM,SAFECO
