PHONE_NUMBER,FIRST_NAME,LAST_NAME,AGR_JUS_STT_PRV,POLICY_NUMBER,POL_EFF_DT,POL_EXP_DT,POLICY_SYMBOL,AGREEMENT_SOURCE,SCRIPT
354-426-6263,BOQ,CNGDATABOQ,CA,H3226867288640,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6264,BOR,CNGDATABOR,CA,H3226867290240,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6254,BOH,CNGDATABOH,CA,H3226867290340,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6265,BOS,CNGDATABOS,CA,H3226867291740,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6255,BOI,CNGDATABOI,CA,H3226867291940,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6246,BNZ,CNGDATABNZ,CA,H3226867293040,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6266,BOT,CNGDATABOT,CA,H3226867293240,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6256,BOJ,CNGDATABOJ,CA,H3226867293440,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6247,BOA,CNGDATABOA,CA,H3226867294540,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6267,BOU,CNGDATABOU,CA,H3226867294640,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6257,BOK,CNGDATABOK,CA,H3226867294840,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6258,BOL,CNGDATABOL,CA,H3226867296340,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6249,BOC,CNGDATABOC,CA,H3226867297540,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6259,BOM,CNGDATABOM,CA,H3226867297840,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6260,BON,CNGDATABON,CA,H3226867299340,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6261,BOO,CNGDATABOO,CA,H3226867300740,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6252,BOF,CNGDATABOF,CA,H3226867301740,05/20/2012,05/19/2013,H3,CA,TP55
354-426-6262,BOP,CNGDATABOP,CA,H3226867302240,05/20/2012,05/19/2013,H3,CA,TP55
